,p.value,Case_rank,Control_rank,Enrichment,qnorm,Case_Mean1,Control_Mean1,Case_Mean2,Control_Mean2,OR,lower,uper,com,FDR
K00003,0.0110207695595817,20,30,Control,-2.51,-0.4149,1.7969,-0.390031794345027,0.360029348626179,2.4105,1.212,4.7942,2.4105 (1.212;4.7942),0.241203117614782
K00012,0.301718405696185,28,23,Case,1.04,3.0822,-1.7767,0.174267799395402,-0.160862584057294,0.7041,0.393,1.2613,0.7041 (0.393;1.2613),0.654693992282842
K00013,0.531253922476574,24,27,Control,-0.63,-3.3337,3.753,-0.11345141528025,0.104724383335616,1.2525,0.7079,2.2161,1.2525 (0.7079;2.2161),0.85061169353799
K00014,0.0326250083986423,21,30,Control,-2.13,-0.9482,2.1497,-0.236353053199252,0.218172049107,1.6762,0.8712,3.2251,1.6762 (0.8712;3.2251),0.273660518209507
K00018,0.765455087307519,25,26,Control,-0.3,-2.7307,3.8704,-0.111674208317714,0.103083884600966,1.2501,0.7026,2.2241,1.2501 (0.7026;2.2241),0.962384248471646
K00019,0.0578545795426941,21,29,Control,-1.89,24.6663,-15.1952,0.0127021259548896,-0.011725039342975,0.9754,0.5569,1.7083,0.9754 (0.5569;1.7083),0.32842700710095
K00023,0.420585403027816,24,27,Control,-0.81,-5.2965,6.5966,-0.0633814722526229,0.0585059743870365,1.1345,0.6407,2.0091,1.1345 (0.6407;2.0091),0.762480633876234
K00024,0.123366622011282,29,22,Case,1.54,2.114,-1.505,0.249197483327984,-0.230028446148909,0.6023,0.3332,1.0885,0.6023 (0.3332;1.0885),0.457637238088056
K00029,0.185140312870791,28,23,Case,1.33,2.0494,-0.9809,0.264686816238617,-0.24432629191257,0.5734,0.3076,1.069,0.5734 (0.3076;1.069),0.526829649789289
K00030,0.028020407833775,21,30,Control,-2.18,-0.3704,1.8743,-0.393553559158406,0.363280208453914,2.4292,1.2201,4.8368,2.4292 (1.2201;4.8368),0.256056409798074
K00031,0.458065825779274,27,24,Case,0.75,3.4637,-2.2392,0.148473395740394,-0.137052365298825,0.7441,0.4194,1.3204,0.7441 (0.4194;1.3204),0.790884774463754
K00033,0.707384603182297,25,26,Control,-0.38,-9.4981,9.0654,-0.047858625047368,0.0441771923514168,1.0986,0.6265,1.9264,1.0986 (0.6265;1.9264),0.942229451210324
K00036,0.946305810934461,25,26,Control,-0.07,91.5596,-78.6558,0.00523805987571676,-0.0048351321929694,0.9898,0.5651,1.7335,0.9898 (0.5651;1.7335),0.992208704748446
K00037,0.172498193748909,23,28,Control,-1.37,-2.8252,3.4626,-0.128624486093914,0.118730294855921,1.2958,0.7247,2.3168,1.2958 (0.7247;2.3168),0.515659494079185
K00040,0.765455087307519,26,25,Case,0.3,6.3735,-4.9969,0.07657658710235,-0.0706860804021691,0.8601,0.4896,1.5111,0.8601 (0.4896;1.5111),0.962384248471646
K00041,0.178737668236209,28,23,Case,1.35,2.1362,-0.9115,0.254156794815551,-0.234606272137432,0.5844,0.3112,1.0975,0.5844 (0.3112;1.0975),0.516455370430589
K00051,0.0380471378059689,21,29,Control,-2.07,-0.9885,2.373,-0.211558564022637,0.195284828328588,1.6402,0.8015,3.3565,1.6402 (0.8015;3.3565),0.282694933822692
K00052,0.0503995102205857,21,29,Control,-1.95,-0.8845,1.8323,-0.284491974165983,0.262607976153216,1.8551,0.9672,3.5583,1.8551 (0.9672;3.5583),0.309557647475073
K00053,0.401585867762527,24,27,Control,-0.84,-2.9313,4.7504,-0.105870842155647,0.0977269312205983,1.234,0.6976,2.1829,1.234 (0.6976;2.1829),0.744855635915974
K00058,0.00205411469708869,19,32,Control,-3.02,-0.2541,1.5688,-0.441956421160799,0.407959773379199,3.244,1.4131,7.4469,3.244 (1.4131;7.4469),0.14430155747048
K00059,0.0552756379895714,21,29,Control,-1.91,-1.3854,2.4268,-0.212092567961466,0.195777755041354,1.5476,0.8481,2.8241,1.5476 (0.8481;2.8241),0.321300219230542
K00064,0.664882949086388,26,25,Case,0.44,3.2378,-1.74,0.128075442917573,-0.118223485770068,0.7709,0.4254,1.3971,0.7709 (0.4254;1.3971),0.929512978573508
K00077,0.292712954819136,23,28,Control,-1.06,-1.486,2.5387,-0.199010152042258,0.183701678808238,1.5047,0.8273,2.7368,1.5047 (0.8273;2.7368),0.650216128886776
K00082,0.0342945685528998,21,30,Control,-2.11,-3.3291,3.4515,-0.0866056690520451,0.0799436945095802,1.1987,0.6494,2.2126,1.1987 (0.6494;2.2126),0.275336393238996
K00088,0.458065825779274,24,27,Control,-0.75,-3.9156,5.5574,-0.0858826000759739,0.0792762462239756,1.1849,0.6727,2.087,1.1849 (0.6727;2.087),0.790884774463754
K00091,0.0103916236967218,20,31,Control,-2.53,-0.4519,1.8514,-0.349964272132792,0.323043943507193,2.4523,1.0968,5.4829,2.4523 (1.0968;5.4829),0.241203117614782
K00097,0.128226419443286,29,22,Case,1.52,2.9156,-2.5227,0.133579214574991,-0.123303890376915,0.7631,0.4237,1.3744,0.7631 (0.4237;1.3744),0.460468036595059
K00099,0.623413544612998,24,26,Control,-0.5,-10.3719,11.6931,-0.0360416547580672,0.0332692197766764,1.0734,0.6121,1.8824,1.0734 (0.6121;1.8824),0.897204640390537
K00122,0.105327374677274,22,29,Control,-1.62,-1.259,2.576,-0.212684082666909,0.196323768615609,1.5602,0.8454,2.8795,1.5602 (0.8454;2.8795),0.432072880062978
K00123,0.039738255822051,21,30,Control,-2.05,-1.2485,2.2597,-0.220196499000007,0.203258306769238,1.6207,0.8446,3.1099,1.6207 (0.8446;3.1099),0.282694933822692
K00124,0.736234900362807,26,25,Case,0.34,2.1875,-0.2362,0.182448028400753,-0.168413564677618,0.482,0.1053,2.2061,0.482 (0.1053;2.2061),0.9522762117466
K00125,0.0917826846405424,22,29,Control,-1.69,-0.1895,1.9211,-0.38346467319347,0.353967390640126,2.7142,1.1511,6.3998,2.7142 (1.1511;6.3998),0.402983349749881
K00127,0.212415816646397,28,23,Case,1.25,2.044,-0.4306,0.226701013217945,-0.209262473739642,0.4975,0.1808,1.3689,0.4975 (0.1808;1.3689),0.556539342448835
K00128,0.00271733413356725,19,31,Control,-2.94,-0.2132,1.556,-0.432285184641155,0.399032478130297,3.3548,1.3653,8.2432,3.3548 (1.3653;8.2432),0.163572467886925
K00133,0.623413544612998,27,24,Case,0.5,9.1495,-7.7565,0.0501000975058668,-0.0462462438515694,0.9061,0.5163,1.5903,0.9061 (0.5163;1.5903),0.897204640390537
K00134,0.266769187406626,23,28,Control,-1.12,-2.2593,3.1546,-0.163672766568428,0.151082553755471,1.3864,0.7802,2.4638,1.3864 (0.7802;2.4638),0.625904407241043
K00135,0.283886478397828,23,28,Control,-1.08,3.6069,-1.0663,0.0987917344176181,-0.0911923702316475,0.8062,0.4143,1.5686,0.8062 (0.4143;1.5686),0.647238137361377
K00143,0.0636484438718976,22,29,Control,-1.85,-0.0252,1.7882,-0.300987857413502,0.277834945304771,6.8207,0.9335,49.8352,6.8207 (0.9335;49.8352),0.339056165459777
K00145,0.69310975436134,26,25,Case,0.4,66.1562,-72.431,0.00565790864144478,-0.0052226848997964,0.989,0.5646,1.7323,0.989 (0.5646;1.7323),0.942025833013478
K00147,0.390803907241872,24,27,Control,-0.86,-2.1081,2.6292,-0.172011311298858,0.158779671968177,1.4135,0.7897,2.5299,1.4135 (0.7897;2.5299),0.734554501237231
K00150,0.224661464539382,23,28,Control,-1.21,-0.1075,1.9392,-0.204716903176158,0.188969449085684,3.9952,0.2435,65.5392,3.9952 (0.2435;65.5392),0.573907923050603
K00161,0.00132925944090003,19,32,Control,-3.14,-0.2106,1.5779,-0.430880982761347,0.397736291779705,3.9098,1.377,11.1012,3.9098 (1.377;11.1012),0.135826146506512
K00162,0.00638836976315578,20,31,Control,-2.69,-0.1726,1.5957,-0.419451409487563,0.387185916450058,4.0417,1.3431,12.1622,4.0417 (1.3431;12.1622),0.239162502097615
K00163,0.961633067902556,25,26,Control,-0.05,2.0263,-0.18,0.175085780431063,-0.161617643474827,0.3716,0.0338,4.0897,0.3716 (0.0338;4.0897),0.996198680481542
K00164,0.707384603182297,25,26,Control,-0.38,2.8793,-0.8665,0.139189477351318,-0.12848259447814,0.7173,0.3351,1.5354,0.7173 (0.3351;1.5354),0.942229451210324
K00167,0.24691932618106,23,28,Control,-1.16,11.6347,-7.6446,0.0314495773272518,-0.0290303790713094,0.9401,0.5354,1.6507,0.9401 (0.5354;1.6507),0.600730135557384
K00169,0.531253922476574,24,27,Control,-0.63,-2.2678,3.8315,-0.11197472693192,0.103361286398695,1.2595,0.6917,2.2933,1.2595 (0.6917;2.2933),0.85061169353799
K00170,0.481825693345,24,27,Control,-0.71,-4.1344,5.7289,-0.0768859294695833,0.0709716272026921,1.1658,0.6571,2.0684,1.1658 (0.6571;2.0684),0.809524782241824
K00171,0.543993635325268,24,27,Control,-0.61,-5.9022,7.7118,-0.0537610385533685,0.0496255740492631,1.1124,0.6305,1.9628,1.1124 (0.6305;1.9628),0.859984312384812
K00172,0.412541130682006,24,27,Control,-0.83,-1.5455,3.1432,-0.143087675623499,0.132080931344768,1.3574,0.7229,2.5489,1.3574 (0.7229;2.5489),0.750317525706432
K00174,0.469864284436191,27,24,Case,0.73,5.398,-4.3412,0.0808406835223501,-0.0746221694052463,0.8515,0.4813,1.5066,0.8515 (0.4813;1.5066),0.803846964545325
K00175,0.481825693345,27,24,Case,0.71,5.4318,-4.5291,0.0832138816966701,-0.0768128138738493,0.8477,0.4794,1.4987,0.8477 (0.4794;1.4987),0.809524782241824
K00176,0.885246878046434,26,25,Case,0.15,15.2983,-11.9143,0.0272859486690112,-0.025187029540626,0.9478,0.5408,1.6611,0.9478 (0.5408;1.6611),0.989676920858447
K00177,0.583084454923716,27,24,Case,0.55,6.0027,-4.6869,0.0704524132667185,-0.0650329968615865,0.87,0.4938,1.5329,0.87 (0.4938;1.5329),0.885658009911158
K00179,0.678941086483524,25,26,Control,-0.42,-4.8227,3.5698,-0.102965527904617,0.0950451026811848,1.2253,0.6961,2.157,1.2253 (0.6961;2.157),0.937505873719264
K00180,0.780191941046138,25,26,Control,-0.28,-3.6362,3.1884,-0.129498591591619,0.119537161469188,1.292,0.7322,2.2797,1.292 (0.7322;2.2797),0.963665650259186
K00189,0.241498516308985,23,28,Control,-1.17,-0.7191,2.4008,-0.176182050456718,0.16262958503697,1.5953,0.6801,3.7423,1.5953 (0.6801;3.7423),0.591074075159433
K00202,0.0480973723680217,21,29,Control,-1.97,-0.3829,1.936,-0.320293739895482,0.295655759903522,2.4033,1.0001,5.775,2.4033 (1.0001;5.775),0.303187634616318
K00207,0.719389570542628,25,26,Control,-0.36,17.9374,-14.6325,0.0246172010259304,-0.0227235701777818,0.9529,0.5441,1.6688,0.9529 (0.5441;1.6688),0.942229451210324
K00208,0.0239774387198149,30,21,Case,2.24,1.7195,-0.8837,0.329153818701737,-0.303834294186219,0.4945,0.2615,0.9351,0.4945 (0.2615;0.9351),0.242798568658306
K00210,0.0183403867151168,31,21,Case,2.34,2.3297,-1.1244,0.240894827802526,-0.222364456433101,0.5973,0.3176,1.1234,0.5973 (0.3176;1.1234),0.242798568658306
K00215,0.915715300438421,26,25,Case,0.11,12.2968,-10.2057,0.0347688619286665,-0.0320943340880001,0.934,0.5329,1.637,0.934 (0.5329;1.637),0.989676920858447
K00220,0.21025889914583,23,28,Control,-1.25,6.8706,-4.2151,0.05148033441546,-0.0475203086911938,0.9031,0.5106,1.5972,0.9031 (0.5106;1.5972),0.556539342448835
K00226,0.765455087307519,25,26,Control,-0.3,-9.9728,7.5334,-0.0488511697323819,0.0450933874452756,1.1008,0.6274,1.9315,1.1008 (0.6274;1.9315),0.962384248471646
K00228,0.620010061256324,24,26,Control,-0.5,1.9094,-0.0233,0.18830831691547,-0.173823061768126,0.194,0.0076,4.9205,0.194 (0.0076;4.9205),0.897204640390537
K00230,0.885246878046434,25,26,Control,-0.15,2.7458,-0.6982,0.150661470341837,-0.139072126469388,0.6763,0.2847,1.6062,0.6763 (0.2847;1.6062),0.989676920858447
K00231,0.0480973723680217,21,29,Control,-1.97,-0.5005,2.0143,-0.22421666993893,0.206969233789781,2.0052,0.6869,5.8539,2.0052 (0.6869;5.8539),0.303187634616318
K00239,0.556880713160731,27,24,Case,0.59,3.8342,-2.4287,0.131569111769211,-0.121448410863888,0.7701,0.4349,1.3637,0.7701 (0.4349;1.3637),0.864549615459477
K00240,0.16642009212642,28,23,Case,1.39,2.3976,-1.7346,0.203888544302895,-0.18820481012575,0.6614,0.3671,1.1919,0.6614 (0.3671;1.1919),0.512482694657797
K00241,0.0633067318046942,30,22,Case,1.85,2.1209,-1.4671,0.21699129050257,-0.200299652771603,0.6351,0.3424,1.1781,0.6351 (0.3424;1.1781),0.338841745468935
K00242,0.386883706941356,24,27,Control,-0.87,1.9067,-0.0176,0.182593614754641,-0.168547952081207,0.1129,0.0028,4.487,0.1129 (0.0028;4.487),0.734554501237231
K00244,0.123366622011282,22,29,Control,-1.54,-2.1434,2.6566,-0.168622820528817,0.155651834334292,1.4106,0.7804,2.5497,1.4106 (0.7804;2.5497),0.457637238088056
K00245,0.234661698866164,23,28,Control,-1.19,-1.9444,2.8834,-0.16514183607999,0.152438617919991,1.3976,0.7769,2.5141,1.3976 (0.7769;2.5141),0.583539268861877
K00246,0.976974262337502,25,26,Control,-0.03,2.3003,-0.275,0.192064593674872,-0.17729039416142,0.5245,0.1604,1.7153,0.5245 (0.1604;1.7153),0.99647828572355
K00247,0.822367892576225,26,25,Case,0.22,1.9264,-0.0945,0.187657841626541,-0.173222623039885,0.2194,0.0153,3.1475,0.2194 (0.0153;3.1475),0.989676920858447
K00249,0.339531161971321,23,27,Control,-0.96,-1.7425,3.1932,-0.154271024523269,0.142404022636864,1.3732,0.7549,2.498,1.3732 (0.7549;2.498),0.691364177637255
K00253,0.555482424808496,24,27,Control,-0.59,-2.1717,4.1258,-0.102617633754367,0.094723969619416,1.2403,0.6705,2.2945,1.2403 (0.6705;2.2945),0.864549615459477
K00274,0.579206821403146,24,27,Control,-0.55,-1.79,3.5608,-0.123658861816257,0.114146641676545,1.3048,0.6905,2.4656,1.3048 (0.6905;2.4656),0.885658009911158
K00275,0.976974262337502,26,25,Case,0.03,8.8421,-7.0857,0.0492271226305135,-0.0454404208897047,0.9078,0.5175,1.5925,0.9078 (0.5175;1.5925),0.99647828572355
K00278,0.143682973365797,29,23,Case,1.47,2.5081,-1.7348,0.193754038229303,-0.178849881442434,0.6754,0.3747,1.2174,0.6754 (0.3747;1.2174),0.492377018485231
K00286,0.275238691174981,23,28,Control,-1.1,-1.4062,2.3536,-0.204839862566465,0.189082950061352,1.5213,0.8363,2.7676,1.5213 (0.8363;2.7676),0.636560265186582
K00287,0.721761172145987,25,26,Control,-0.36,-2.3939,3.9393,-0.080576366033101,0.074378184030555,1.1867,0.6342,2.2205,1.1867 (0.6342;2.2205),0.942229451210324
K00290,0.839868412093286,26,25,Case,0.2,124.0739,-82.781,0.00354844013949437,-0.00327548320568671,0.9931,0.5669,1.7395,0.9931 (0.5669;1.7395),0.989676920858447
K00293,0.602268376608328,24,26,Control,-0.52,-53.2159,50.3464,-0.00784214335673326,0.00723890156006143,1.0155,0.5796,1.7793,1.0155 (0.5796;1.7793),0.894854786904452
K00297,0.506228271280028,27,24,Case,0.67,4.1397,-2.9273,0.115413378394759,-0.106535426210545,0.7946,0.4482,1.409,0.7946 (0.4482;1.409),0.825835380143326
K00330,0.00679983685889393,31,20,Case,2.67,1.4874,-0.7121,0.377310154074541,-0.348286296068808,0.4328,0.2211,0.8472,0.4328 (0.2211;0.8472),0.239162502097615
K00331,0.0131112603842614,31,21,Case,2.46,1.5374,-0.6992,0.373933379719503,-0.345169273587233,0.4353,0.2214,0.8558,0.4353 (0.2214;0.8558),0.241203117614782
K00332,0.00963782251127837,20,31,Control,-2.59,-0.0708,1.7695,-0.360784987418988,0.333032296079065,5.2871,1.0267,27.2268,5.2871 (1.0267;27.2268),0.241203117614782
K00333,0.010047996134301,20,31,Control,-2.57,-0.2873,1.8677,-0.29394871685739,0.271337277099129,2.8587,0.8304,9.8416,2.8587 (0.8304;9.8416),0.241203117614782
K00334,0.0857457078270006,22,29,Control,-1.72,-1.5081,2.1252,-0.243407692884313,0.224684024200904,1.6442,0.9068,2.9811,1.6442 (0.9068;2.9811),0.387060946174894
K00335,0.0183403867151168,20,30,Control,-2.34,-0.8601,1.8908,-0.313895276736239,0.289749486218067,1.9814,1.0338,3.7977,1.9814 (1.0338;3.7977),0.242798568658306
K00336,0.0691680989243748,22,29,Control,-1.82,-1.2807,2.2121,-0.251424155851008,0.232083836170161,1.6829,0.9184,3.0837,1.6829 (0.9184;3.0837),0.350202446806294
K00337,0.0417054083587437,30,21,Case,2.03,1.6353,-0.8573,0.328557340746588,-0.303283699150696,0.4842,0.2492,0.9411,0.4842 (0.2492;0.9411),0.289363450587827
K00338,0.0480973723680217,30,22,Case,1.97,1.8955,-0.7948,0.324727475336896,-0.299748438772519,0.5048,0.2703,0.9425,0.5048 (0.2703;0.9425),0.303187634616318
K00339,0.00253567757697991,32,20,Case,2.96,1.4053,-0.5169,0.444056940879036,-0.409898714657572,0.3491,0.167,0.7294,0.3491 (0.167;0.7294),0.163572467886925
K00340,0.109631975674831,29,22,Case,1.6,2.0613,-1.2233,0.251755042780851,-0.232389270259248,0.5937,0.3233,1.09,0.5937 (0.3233;1.09),0.435428765577774
K00341,0.0164273422822571,31,21,Case,2.38,1.7066,-0.7065,0.35456067547271,-0.327286777359425,0.4601,0.2378,0.8902,0.4601 (0.2378;0.8902),0.242798568658306
K00342,0.0146886468913997,31,21,Case,2.42,1.6274,-0.6373,0.378928599229103,-0.349780245442249,0.4311,0.2199,0.845,0.4311 (0.2199;0.845),0.241203117614782
K00343,0.0138805787445467,31,21,Case,2.44,1.5019,-0.5951,0.396947114209841,-0.366412720809085,0.41,0.2068,0.8129,0.41 (0.2068;0.8129),0.241203117614782
K00380,0.839868412093286,25,26,Control,-0.2,-49.1428,43.1425,-0.00886920309260798,0.00818695670086915,1.0176,0.5809,1.7825,1.0176 (0.5809;1.7825),0.989676920858447
K00381,0.390803907241872,24,27,Control,-0.86,3.2227,-1.2138,0.118144163627857,-0.109056151041099,0.781,0.4189,1.4563,0.781 (0.4189;1.4563),0.734554501237231
K00382,0.809894507566046,25,26,Control,-0.24,-9.8051,9.7802,-0.0435792635976182,0.0402270125516475,1.0894,0.6214,1.9097,1.0894 (0.6214;1.9097),0.985196349030558
K00394,0.0633067318046942,22,29,Control,-1.85,-0.5752,2.0474,-0.276350198565747,0.255092490983766,1.9665,0.9216,4.196,1.9665 (0.9216;4.196),0.338841745468935
K00395,0.101155518200909,22,29,Control,-1.64,-1.1653,2.5163,-0.190999543935374,0.17630727132496,1.5152,0.7917,2.8999,1.5152 (0.7917;2.8999),0.422672128095991
K00405,0.0114770670756689,20,30,Control,-2.53,-0.1458,1.8281,-0.270545260030521,0.24973408618202,5.3343,0.6482,43.8947,5.3343 (0.6482;43.8947),0.241203117614782
K00412,0.898673430848153,25,26,Control,-0.13,10.2227,-9.0769,0.0310791329737954,-0.0286884304373496,0.9407,0.5357,1.652,0.9407 (0.5357;1.652),0.989676920858447
K00425,0.0480973723680217,30,22,Case,1.97,1.8588,-1.029,0.286069713741915,-0.264064351146383,0.5442,0.289,1.0245,0.5442 (0.289;1.0245),0.303187634616318
K00426,0.329809533579703,28,24,Case,0.98,2.8762,-2.6546,0.151062961889528,-0.139442734051872,0.739,0.415,1.3159,0.739 (0.415;1.3159),0.678948563632942
K00441,0.13323090230092,22,28,Control,-1.5,-1.1319,2.4006,-0.232632861188377,0.214738025712348,1.6167,0.8839,2.957,1.6167 (0.8839;2.957),0.470916774170547
K00450,0.945788000323512,25,26,Control,-0.07,-1.1571,3.4816,-0.151188054832768,0.139558204461017,1.3815,0.7351,2.5963,1.3815 (0.7351;2.5963),0.992208704748446
K00457,0.160501491044013,22,28,Control,-1.41,-0.7267,2.3277,-0.240090609759546,0.221622101316505,1.7425,0.8629,3.5188,1.7425 (0.8629;3.5188),0.506751898689524
K00525,0.900463086624313,26,25,Case,0.13,11.4628,-11.7132,0.0292731615378712,-0.0270213798811114,0.9442,0.5389,1.6542,0.9442 (0.5389;1.6542),0.989676920858447
K00526,0.596394520949954,27,24,Case,0.53,2.869,-1.0367,0.20093182263536,-0.185475528586486,0.6607,0.3605,1.2109,0.6607 (0.3605;1.2109),0.894854786904452
K00527,0.191707850908558,23,28,Control,-1.31,-15.3768,10.5797,-0.0293973887573142,0.0271360511605973,1.0596,0.6035,1.8604,1.0596 (0.6035;1.8604),0.537355671873365
K00536,0.275238691174981,23,28,Control,-1.1,-0.8855,2.6996,-0.200288518217538,0.184881709123881,1.5766,0.7946,3.128,1.5766 (0.7946;3.128),0.636560265186582
K00548,0.976974262337502,26,25,Case,0.03,-4.3981,5.6865,-0.0688024275010728,0.0635099330779141,1.1462,0.6486,2.0258,1.1462 (0.6486;2.0258),0.99647828572355
K00549,0.976974262337502,25,26,Control,-0.03,6.0508,-4.2053,0.0768201660306388,-0.0709109224898201,0.8597,0.4891,1.5109,0.8597 (0.4891;1.5109),0.99647828572355
K00551,0.0164273422822571,20,30,Control,-2.38,-0.2114,1.7871,-0.421800571712865,0.389354373888799,2.7922,1.2929,6.0304,2.7922 (1.2929;6.0304),0.242798568658306
K00558,0.292712954819136,23,28,Control,-1.06,-1.7988,3.1267,-0.180550561933366,0.166662057169261,1.4389,0.8036,2.5763,1.4389 (0.8036;2.5763),0.650216128886776
K00559,0.509611351350099,24,27,Control,-0.66,3.8181,-1.7071,0.0758924236812016,-0.0700545449364938,0.8538,0.4596,1.5861,0.8538 (0.4596;1.5861),0.830149505677553
K00560,0.569912064003751,24,27,Control,-0.57,-3.7585,4.82,-0.0978627903710309,0.0903348834194129,1.2132,0.6889,2.1363,1.2132 (0.6889;2.1363),0.877508438274269
K00568,0.275238691174981,28,23,Case,1.1,2.7196,-1.1996,0.2067395976274,-0.190836551656062,0.6552,0.3604,1.1909,0.6552 (0.3604;1.1909),0.636560265186582
K00588,0.118649191868006,22,29,Control,-1.56,-2.3825,2.8611,-0.145477781488237,0.134287182912219,1.3527,0.7381,2.4793,1.3527 (0.7381;2.4793),0.45361119612122
K00600,0.128226419443286,22,29,Control,-1.52,-1.4471,2.457,-0.216281571020206,0.199644527095574,1.5495,0.8604,2.7904,1.5495 (0.8604;2.7904),0.460468036595059
K00602,0.493947817024109,27,24,Case,0.69,4.1374,-2.9111,0.125252924546,-0.115618084196307,0.7805,0.442,1.3782,0.7805 (0.442;1.3782),0.818875142087166
K00606,0.310902987491349,28,23,Case,1.02,2.9434,-1.5621,0.181549574640204,-0.167584222744804,0.6926,0.3848,1.2467,0.6926 (0.3848;1.2467),0.66436303790927
K00609,0.13323090230092,22,28,Control,-1.5,-1.485,2.5679,-0.210249731999108,0.194076675691484,1.5309,0.8507,2.7552,1.5309 (0.8507;2.7552),0.470916774170547
K00610,0.543993635325268,27,24,Case,0.61,5.5563,-6.8117,0.0651105626744347,-0.0601020578533243,0.8794,0.4999,1.547,0.8794 (0.4999;1.547),0.859984312384812
K00611,0.0266131099992871,21,30,Control,-2.2,-0.906,2.1201,-0.273290505149059,0.252268158599131,1.8375,0.9449,3.5732,1.8375 (0.9449;3.5732),0.256056409798074
K00613,0.0307820752410872,21,29,Control,-2.16,-0.4748,2.1054,-0.229671061012458,0.212004056319192,2.1897,0.7251,6.6127,2.1897 (0.7251;6.6127),0.264176087494216
K00615,0.000983946455339637,19,32,Control,-3.21,-0.1902,1.4079,-0.487112846011024,0.449642627087099,3.7949,1.5539,9.268,3.7949 (1.5539;9.268),0.110595581580175
K00616,0.401585867762527,24,27,Control,-0.84,-3.6577,3.9772,-0.113308019261761,0.104592017780087,1.2513,0.7093,2.2073,1.2513 (0.7093;2.2073),0.744855635915974
K00619,0.0266131099992871,21,30,Control,-2.2,-0.6203,1.8758,-0.323865423189839,0.298952698329082,2.1343,1.0462,4.3541,2.1343 (1.0462;4.3541),0.256056409798074
K00620,0.00563073383373872,20,31,Control,-2.73,-0.3437,1.6924,-0.418755713062228,0.386543735134364,2.7057,1.2899,5.6757,2.7057 (1.2899;5.6757),0.239162502097615
K00625,0.412541130682006,27,24,Case,0.83,5.4783,-3.0374,0.0814964304357269,-0.0752274742483637,0.8498,0.4779,1.5111,0.8498 (0.4779;1.5111),0.750317525706432
K00626,0.0822000465930611,22,29,Control,-1.74,-3.7923,4.3827,-0.0768422458177981,0.0709313038318135,1.1719,0.6424,2.138,1.1719 (0.6424;2.138),0.380217499467493
K00627,0.00165631451797063,19,32,Control,-3.08,-1.2508,2.1307,-0.215161102213535,0.198610248197109,1.6419,0.8188,3.2921,1.6419 (0.8188;3.2921),0.143207501399922
K00631,0.946305810934461,25,26,Control,-0.07,2.0428,-0.1967,0.176789913312362,-0.163190689211411,0.3965,0.0449,3.4979,0.3965 (0.0449;3.4979),0.992208704748446
K00632,0.839868412093286,25,26,Control,-0.2,1.9103,-0.0052,0.181110460404587,-0.167178886527311,0.1545,0.0052,4.5872,0.1545 (0.0052;4.5872),0.989676920858447
K00640,0.154740451620766,29,23,Case,1.43,2.8133,-1.7034,0.172529431626728,-0.15925793688621,0.7031,0.387,1.2772,0.7031 (0.387;1.2772),0.499793872476267
K00645,0.795006753287673,25,26,Control,-0.26,-8.404,9.3384,-0.0469275989647854,0.0433177836598016,1.0966,0.6253,1.9233,1.0966 (0.6253;1.9233),0.972347759189711
K00647,0.900463086624313,26,25,Case,0.13,25.1383,-25.647,0.0164231971914226,-0.0151598743305441,0.9683,0.5529,1.6957,0.9683 (0.5529;1.6957),0.989676920858447
K00648,0.885246878046434,26,25,Case,0.15,-10.3345,12.9202,-0.0361555304466199,0.0333743357968802,1.0737,0.6122,1.883,1.0737 (0.6122;1.883),0.989676920858447
K00651,0.390803907241872,27,24,Case,0.86,3.5508,-3.1668,0.119696939655265,-0.110489482758707,0.7884,0.4453,1.3959,0.7884 (0.4453;1.3959),0.734554501237231
K00652,0.320266731075524,28,24,Case,1,2.7667,-2.099,0.175600038417681,-0.162092343154783,0.7027,0.3933,1.2557,0.7027 (0.3933;1.2557),0.676653770167085
K00655,0.028020407833775,21,30,Control,-2.18,-0.7757,1.9717,-0.310715010975172,0.286813856284775,1.9462,1.0291,3.6809,1.9462 (1.0291;3.6809),0.256056409798074
K00657,0.961633067902556,25,26,Control,-0.05,6.003,-4.4705,0.0740233130010657,-0.0683292120009844,0.8641,0.4908,1.5212,0.8641 (0.4908;1.5212),0.996198680481542
K00658,0.795006753287673,25,26,Control,-0.26,44.2499,-43.8354,0.00811282617876667,-0.00748876262655381,0.9842,0.5621,1.7234,0.9842 (0.5621;1.7234),0.972347759189711
K00674,0.154740451620766,22,28,Control,-1.43,-3.393,4.2909,-0.0974728000253043,0.0899748923310502,1.2189,0.6773,2.1937,1.2189 (0.6773;2.1937),0.499793872476267
K00677,0.020441496121948,30,21,Case,2.3,1.7613,-0.7915,0.318202189334194,-0.293725097846949,0.5002,0.2602,0.9614,0.5002 (0.2602;0.9614),0.242798568658306
K00710,0.895183137332991,25,26,Control,-0.13,2.1513,-0.1946,0.141928314778159,-0.131010752102916,0.6412,0.1826,2.2523,0.6412 (0.1826;2.2523),0.989676920858447
K00720,0.125988493410981,22,28,Control,-1.53,-0.7115,2.4416,-0.176973360613492,0.163360025181685,1.5797,0.6919,3.6065,1.5797 (0.6919;3.6065),0.460468036595059
K00729,0.0788485334673338,22,29,Control,-1.76,-1.6688,2.4077,-0.196349484567448,0.181245678062259,1.5035,0.8193,2.7591,1.5035 (0.8193;2.7591),0.377130857945886
